2022-04-26 19:47:46.764 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.794 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.807 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.824 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.837 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.848 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.872 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.890 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.908 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.920 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.944 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.956 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.968 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:46.997 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.004 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.028 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.046 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.072 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.082 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.104 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.112 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.138 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.148 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.160 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.184 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.208 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.220 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.232 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.256 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.275 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.286 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.310 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.322 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.346 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.358 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.370 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.394 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.412 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.436 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.449 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.467 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.479 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.503 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.515 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.539 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.551 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.569 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.599 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.611 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.623 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.647 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.659 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.672 | INFO     | model:Sensor:163 - ---->Signal:2
2022-04-26 19:47:47.673 | INFO     | model:Sensor:164 - ---->Attention:0
2022-04-26 19:47:47.673 | INFO     | model:Sensor:165 - ---->Meditation:0
2022-04-26 19:47:47.674 | WARNING  | model:Sensor:166 - <---------------------------->
2022-04-26 19:47:47.674 | WARNING  | model:Sensor:173 - 512
2022-04-26 19:47:47.689 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.690 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.700 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.708 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.732 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.748 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.772 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.788 | WARNING  | model:Sensor:85 - Sensor
